City,Temperature,Humidity,Dew,Precipitation,Wind Speed,Wind Direction,Pressure,Solar Radiation,Solar Energy,UV Index
Karachi,31,70.47,25,0.1,33.5,260,1000,0,0,0
Skardu,18.8,79.6,15.2,0,4.7,52.9,1004,0,0,0
Islamabad,28.3,74.34,23.3,0,2.9,62.8,1001,0,0,0
Multan,32,62.7,24,0,0,0,997,0,0,0
Lahore,29,67.29,22.3,0,11,69,1000,0,0,0
Skardu,22,83.11,19,0,0,53.3,1005,0,0,0
Skardu,18.6,76.55,14.4,0,3.2,43.1,1006,35.5,0.1,0
Skardu,21.3,71.77,16,0,4.3,42.8,1006,187.3,0.7,2
Skardu,25,72.9,19.8,0,0,84.8,1006,397.8,1.4,4
Skardu,20.8,74.01,16,0,4.7,54.2,1005,0,0,0
Karachi,31,70.47,25,0.1,37.1,250,1000,0,0,0
Karachi,31,69.76,24.8,0.1,25.1,258,999.6,0,0,0
Karachi,30,74.62,25,0,25.9,260,999,0,0,0
Karachi,30,74.62,25,0,33.5,250,999,0,0,0
Karachi,30.2,76.07,25.5,0,27.5,264,998.9,0,0,0
Karachi,30,74.62,25,0,16.6,250,1000,0.9,0,0
Karachi,30,74.62,25,0,14.8,200,1000,50.4,0.2,1
Karachi,32,65.44,24.7,0.1,18.8,270,1000.7,212.6,0.8,2
Karachi,33,55.79,23,0.1,25.9,270,1001,387.8,1.4,4
Karachi,34,52.75,23,0,25.9,240,1001,525.2,1.9,5
Skardu,17.2,86.34,14.9,0.1,6.5,48.1,1005,0,0,0
Lahore,28,71.31,22.3,0,17.7,31,1000,0,0,0
Lahore,28.9,80.35,25.2,0,4.6,87,999.6,0,0,0
Lahore,28,71.03,22.2,0,10.8,106,999.1,0,0,0
Lahore,28,71.03,22.2,0,7.3,80,1000,0,0,0
Lahore,28.8,80.79,25.2,0,4.3,88,999.6,0,0,0
Lahore,28.8,82.97,25.7,0,4.9,87,999.1,21.9,0.1,0
Lahore,28,71.04,22.3,0,14.4,112,1000.1,117.7,0.4,1
Lahore,30.5,77.58,26.1,0,8.6,132,1000.5,228.7,0.8,2
Lahore,31,71.29,25.1,0,17.9,142,1001,470.7,1.7,5
Lahore,32.9,66.82,26,0,12.2,134,1000.1,550.1,2,6
Lahore,33.5,64.12,25.8,0,9,136,1000.6,816.9,2.9,8
Lahore,34.9,54.03,24.2,0,17.8,182,1001,802.2,2.9,8
Lahore,35.8,51.31,24.2,0,14,200,1000.1,887,3.2,9
Skardu,17.7,86.95,15.5,0.3,5,52.3,1006,0,0,0
Multan,32,66.57,25,0,11.2,230,998,0,0,0
Multan,31.1,71.76,25.4,0,7.2,180,997.5,0,0,0
Multan,32,66.57,25,0,11.2,230,998,0,0,0
Multan,31,70.47,25,0,0,0,998,0,0,0
Multan,30.8,70.95,24.9,0,7.6,180,997,0,0,0
Multan,30,74.62,25,0,7.6,180,998,16,0.1,0
Multan,30,74.62,25,0,7.6,180,998,117.6,0.4,1
Multan,31.8,63.91,24.1,0,11.2,180,998.8,294.7,1.1,3
Multan,33,62.92,25,0,0,0,999,482.9,1.7,5
Multan,34,59.49,25,0,0,0,1000,629.8,2.3,6
Multan,35,55.6,24.8,0,14.8,50,999.8,768.2,2.8,8
Multan,36,53.25,25,0,11.2,50,1000,567.6,2,6
Multan,37,47.48,24,0,11.2,130,999,836.3,3,8
Multan,37.8,45.58,24,0,11.2,130,998.6,793.2,2.9,8
Multan,38,42.33,23,0,11.2,130,998,642,2.3,6
Multan,38,42.33,23,0,11.2,130,997,589.8,2.1,6
Skardu,23,79.69,19.3,0,0,56.9,1005,0,0,0
Islamabad,27.5,76.5,23,0,3.2,65.7,1000,0,0,0
Islamabad,24.3,70.53,18.6,0,6.4,130,1001.3,0,0,0
Islamabad,27,74.58,22.1,0,8.6,54.8,1001,0,0,0
Islamabad,27.1,71.48,21.5,0,8.6,63.2,1001,0,0,0
Islamabad,24.3,70.14,18.5,0,6.4,50,1001.4,0,0,0
Islamabad,27.5,66.47,20.7,0,11.5,70.4,1002,34.2,0.1,0
Islamabad,29.4,60.63,21,0,8.3,79.7,1002,153.5,0.6,2
Islamabad,27.9,56.85,18.5,0,6.7,50,1001.1,428,1.5,4
Islamabad,29.6,63.33,21.9,0,6.1,234.8,1002,517.7,1.9,5
Islamabad,33,52.18,21.9,0,7.6,266,1002,716.2,2.6,7
Islamabad,31.4,46.04,18.4,0,16.6,220,1000.3,878,3.2,9
Islamabad,33.5,47.14,20.7,0,8.6,284.1,1002,861.3,3.1,9
Islamabad,35.5,42.44,20.8,0,9.7,292.8,1001,899.9,3.2,9
Peshawar,30.1,60.79,21.7,0,0.7,237.4,1000,0,0,0
Peshawar,29,62.05,21,0,11.2,310,1001,0,0,0
Peshawar,28,66.16,21.1,0,10.6,310,1001,0,0,0
Peshawar,28,65.76,21,0,11.2,310,1001,0,0,0
Peshawar,28,65.76,21,0,7.6,50,1001,0,0,0
Peshawar,27,78.85,23,0,10.8,45,1001.9,0,0,0
Peshawar,27,78.77,23,0,11.2,50,1002,26.4,0.1,0
Peshawar,28,69.91,22,0.3,11.2,50,1003,124.2,0.4,1
Peshawar,28.9,66.36,22,0.1,14.2,45,1002.9,232.9,0.8,2
Peshawar,30,62.27,22,0,14.8,310,1003,481.4,1.7,5
Peshawar,31,58.8,22,0,14.8,50,1003,681,2.5,7
Peshawar,33.9,50.05,22,0,14.2,315,1002.9,860.6,3.1,9
Peshawar,35,46.96,22,0,11.2,90,1002,847.7,3.1,8
Peshawar,36,44.43,22,0,14.8,50,1001,924.9,3.3,9
